district,Jun19,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21
Amnat Charoen#Chanuman,60,49,67,45,3.0,1.0,10.0,3.0,4.0,6.0,10.0,6.0,8.0,9.0,6,6.0,22.0,22,33,137,156,198,160,18.0
Amnat Charoen#Hua Taphan,77,97,76,59,12.0,8.0,14.0,8.0,5.0,20.0,8.0,4.0,5.0,14.0,19,16.0,29.0,24,50,142,178,138,148,21.0
Amnat Charoen#Lue Amnat,58,80,96,69,10.0,8.0,7.0,19.0,6.0,9.0,3.0,8.0,9.0,15.0,10,7.0,22.0,39,53,99,119,107,107,13.0
Amnat Charoen#Mueang Amnat Charoen,443,565,592,396,68.0,45.0,60.0,43.0,37.0,53.0,43.0,40.0,59.0,107.0,88,67.0,125.0,127,227,687,764,799,615,74.0
Amnat Charoen#Pathum Ratchawongsa,58,67,76,50,12.0,5.0,4.0,7.0,8.0,9.0,8.0,7.0,14.0,11.0,10,14.0,25.0,29,30,100,109,125,127,20.0
Amnat Charoen#Phana,46,42,47,35,3.0,3.0,7.0,3.0,6.0,6.0,4.0,2.0,8.0,8.0,9,10.0,7.0,14,17,67,61,69,70,10.0
Amnat Charoen#Senangkhanikhom,44,62,76,57,10.0,11.0,16.0,6.0,8.0,12.0,9.0,6.0,12.0,10.0,9,15.0,14.0,18,32,127,126,117,121,5.0
Ang Thong#Chaiyo,198,249,309,201,16.0,8.0,13.0,16.0,8.0,60.0,19.0,11.0,12.0,27.0,30,25.0,59.0,47,92,229,299,294,262,26.0
Ang Thong#Mueang Ang Thong,722,810,956,670,70.0,45.0,62.0,45.0,43.0,82.0,41.0,37.0,51.0,88.0,112,70.0,123.0,143,244,628,1005,1077,767,86.0
Ang Thong#Pa Mok,232,320,306,263,20.0,10.0,18.0,13.0,7.0,15.0,6.0,10.0,12.0,33.0,23,16.0,37.0,51,57,187,281,302,246,20.0
Ang Thong#Pho Thong,322,358,364,263,27.0,15.0,42.0,27.0,25.0,52.0,34.0,26.0,31.0,42.0,42,29.0,114.0,78,67,281,433,447,392,60.0
Ang Thong#Samko,78,105,123,91,7.0,15.0,9.0,2.0,8.0,9.0,5.0,1.0,4.0,11.0,18,19.0,49.0,8,55,63,112,163,113,12.0
Ang Thong#Sawaeng Ha,163,217,259,155,13.0,15.0,21.0,11.0,9.0,36.0,6.0,20.0,14.0,34.0,25,21.0,52.0,56,58,166,192,258,221,40.0
Ang Thong#Wiset Chai Chan,473,564,633,422,43.0,23.0,50.0,16.0,21.0,26.0,32.0,33.0,35.0,64.0,69,49.0,125.0,127,133,482,612,658,513,43.0
Bangkok#Bang Bon,642,740,832,663,50.0,45.0,49.0,37.0,32.0,73.0,27.0,36.0,54.0,59.0,92,71.0,119.0,144,167,664,1008,1103,712,62.0
Bangkok#Bang Kapi,4011,5247,7152,4570,351.0,271.0,336.0,263.0,262.0,428.0,106.0,107.0,203.0,475.0,549,514.0,603.0,594,635,1427,2523,3384,1695,197.0
Bangkok#Bang Khae,2300,2976,3507,1790,143.0,86.0,116.0,86.0,70.0,102.0,47.0,62.0,103.0,186.0,187,202.0,244.0,233,287,1137,1885,1930,1225,135.0
Bangkok#Bang Khen,2164,2469,3292,2250,201.0,123.0,193.0,150.0,144.0,166.0,58.0,71.0,134.0,268.0,347,315.0,345.0,371,432,1354,2227,2620,1407,135.0
Bangkok#Bang Kho Laem,517,588,667,480,46.0,29.0,38.0,28.0,26.0,53.0,13.0,20.0,41.0,69.0,76,54.0,79.0,82,113,289,545,600,310,34.0
Bangkok#Bang Khun Thian,1584,1889,1989,1547,139.0,105.0,123.0,74.0,73.0,128.0,49.0,57.0,117.0,221.0,210,174.0,247.0,335,315,1285,2071,2466,1727,128.0
Bangkok#Bang Na,2389,2394,2768,2151,227.0,149.0,209.0,137.0,139.0,160.0,55.0,86.0,127.0,255.0,329,319.0,347.0,359,356,1096,1963,2839,1310,112.0
Bangkok#Bang Phlat,1261,1426,1663,1210,138.0,102.0,155.0,95.0,86.0,122.0,44.0,51.0,100.0,209.0,262,238.0,277.0,268,301,839,1479,1845,928,89.0
Bangkok#Bang Rak,2303,2653,2781,2214,250.0,219.0,259.0,145.0,131.0,160.0,29.0,40.0,97.0,240.0,320,274.0,310.0,304,325,887,1603,2042,914,93.0
Bangkok#Bang Sue,1342,1362,1440,1197,125.0,83.0,109.0,79.0,74.0,94.0,40.0,52.0,105.0,198.0,224,184.0,224.0,236,216,774,1369,1612,785,65.0
Bangkok#Bangkok Noi,2003,2297,2528,1941,215.0,142.0,193.0,144.0,115.0,149.0,46.0,69.0,149.0,271.0,297,236.0,296.0,296,333,1485,2762,3332,1505,112.0
Bangkok#Bangkok Yai,333,388,440,351,41.0,28.0,31.0,29.0,29.0,36.0,12.0,26.0,29.0,69.0,69,64.0,82.0,77,80,218,410,421,226,33.0
Bangkok#Bueng Kum,1261,1401,1460,1167,121.0,71.0,106.0,76.0,61.0,142.0,37.0,44.0,73.0,162.0,227,179.0,222.0,222,234,839,1546,1850,1029,73.0
Bangkok#Chatuchak,8015,9003,9678,8056,883.0,570.0,819.0,497.0,512.0,608.0,160.0,231.0,535.0,1160.0,1331,1187.0,1473.0,1385,1509,3894,7386,9539,5032,391.0
Bangkok#Chom Thong,1704,2228,3363,2012,76.0,33.0,94.0,45.0,47.0,75.0,48.0,42.0,57.0,115.0,115,103.0,148.0,142,153,613,908,1151,775,98.0
Bangkok#Din Daeng,1873,1977,2231,1754,207.0,148.0,201.0,154.0,145.0,145.0,53.0,65.0,149.0,320.0,386,345.0,337.0,382,379,864,1518,1938,964,94.0
Bangkok#Don Mueang,6208,6488,7041,6005,649.0,391.0,463.0,323.0,290.0,467.0,61.0,106.0,207.0,529.0,566,485.0,566.0,573,586,2015,3531,5532,3363,142.0
Bangkok#Dusit,4017,5539,8592,5364,185.0,160.0,224.0,144.0,99.0,177.0,60.0,83.0,146.0,263.0,334,280.0,356.0,398,344,1342,2404,3139,1105,192.0
Bangkok#Huai Khwang,4309,4767,4996,4103,387.0,307.0,361.0,241.0,226.0,270.0,92.0,110.0,246.0,540.0,634,516.0,544.0,563,597,1809,3186,3960,1877,216.0
Bangkok#Khan Na Yao,1280,1381,1562,1212,133.0,82.0,95.0,65.0,56.0,122.0,29.0,58.0,83.0,162.0,185,144.0,172.0,248,248,992,1739,1947,1204,87.0
Bangkok#Khlong Sam Wa,828,954,1077,810,101.0,53.0,60.0,47.0,45.0,117.0,21.0,47.0,62.0,133.0,116,110.0,130.0,204,200,907,1313,1425,953,102.0
Bangkok#Khlong San,1076,1248,1279,1034,130.0,71.0,117.0,81.0,58.0,73.0,27.0,33.0,78.0,154.0,133,131.0,159.0,167,182,581,1135,1298,706,46.0
Bangkok#Khlong Toei,2292,2536,2756,2202,234.0,171.0,167.0,108.0,113.0,133.0,49.0,50.0,126.0,238.0,301,263.0,298.0,327,346,963,1772,2136,1078,98.0
Bangkok#Lak Si,2351,2580,2848,2431,242.0,140.0,230.0,149.0,133.0,191.0,54.0,81.0,132.0,297.0,398,335.0,331.0,411,401,1158,1960,2413,1316,106.0
Bangkok#Lat Krabang,1791,2009,2261,1813,224.0,170.0,208.0,143.0,122.0,220.0,99.0,103.0,141.0,256.0,327,273.0,388.0,446,468,1426,2313,2814,1889,187.0
Bangkok#Lat Phrao,1509,1731,1867,1457,134.0,88.0,139.0,96.0,86.0,93.0,44.0,72.0,105.0,183.0,201,146.0,210.0,231,274,954,1692,2083,1060,75.0
Bangkok#Min Buri,1044,1087,1298,1009,106.0,53.0,102.0,57.0,43.0,203.0,34.0,41.0,71.0,125.0,147,142.0,169.0,212,269,837,1335,1420,927,107.0
Bangkok#Nong Chok,597,665,811,600,59.0,43.0,60.0,34.0,30.0,203.0,49.0,43.0,53.0,92.0,95,75.0,139.0,163,188,669,970,1072,723,58.0
Bangkok#Nong Khaem,587,547,700,541,51.0,42.0,47.0,33.0,37.0,47.0,33.0,21.0,49.0,80.0,93,55.0,93.0,118,146,454,661,853,568,59.0
Bangkok#Pathum Wan,5037,5466,6026,4952,531.0,381.0,434.0,265.0,253.0,292.0,49.0,96.0,262.0,539.0,578,539.0,529.0,581,639,2235,4396,5738,2654,177.0
Bangkok#Phasi Charoen,6890,12665,20736,11700,120.0,83.0,84.0,66.0,67.0,99.0,35.0,37.0,69.0,106.0,115,126.0,164.0,169,160,628,1062,1046,711,100.0
Bangkok#Phaya Thai,2748,3114,3378,3151,285.0,210.0,288.0,209.0,186.0,238.0,67.0,84.0,185.0,403.0,487,426.0,420.0,452,476,1275,2378,2987,1385,128.0
Bangkok#Phra Khanong,949,1056,1174,972,91.0,95.0,126.0,93.0,72.0,90.0,38.0,54.0,75.0,149.0,164,149.0,181.0,203,169,510,886,1081,586,71.0
Bangkok#Phra Nakhon,1916,2358,3494,1594,128.0,111.0,151.0,83.0,79.0,110.0,33.0,40.0,57.0,176.0,223,163.0,227.0,237,233,772,1479,1848,815,83.0
Bangkok#Pom Prap Sattru Phai,897,945,1244,958,89.0,65.0,78.0,65.0,46.0,70.0,19.0,26.0,74.0,106.0,119,108.0,177.0,146,198,715,1700,1899,738,27.0
Bangkok#Prawet,1873,2053,2305,1728,216.0,144.0,205.0,109.0,125.0,214.0,69.0,84.0,143.0,253.0,278,230.0,316.0,360,426,1335,2341,2711,1483,138.0
Bangkok#Rat Burana,699,766,940,664,49.0,35.0,42.0,30.0,24.0,49.0,23.0,23.0,40.0,71.0,78,69.0,96.0,119,110,352,573,602,448,58.0
Bangkok#Ratchathewi,6935,9830,13378,7998,464.0,308.0,366.0,259.0,225.0,346.0,72.0,125.0,242.0,528.0,634,510.0,576.0,640,636,2166,3942,5216,2317,185.0
Bangkok#Sai Mai,1107,1203,1391,1087,101.0,77.0,116.0,77.0,88.0,120.0,55.0,62.0,88.0,164.0,188,163.0,230.0,214,248,1033,1641,1812,1181,85.0
Bangkok#Samphanthawong,833,820,894,658,82.0,46.0,70.0,41.0,24.0,55.0,4.0,16.0,38.0,85.0,80,78.0,84.0,116,109,441,1151,1388,540,51.0
Bangkok#Saphan Sung,735,900,982,699,64.0,56.0,72.0,41.0,45.0,135.0,29.0,31.0,42.0,88.0,111,90.0,140.0,138,154,646,970,1090,667,64.0
Bangkok#Sathon,1772,1963,2058,1745,198.0,140.0,152.0,111.0,114.0,137.0,33.0,56.0,109.0,231.0,230,230.0,229.0,244,257,545,1065,1315,590,73.0
Bangkok#Suan Luang,1732,1960,2176,1695,164.0,113.0,158.0,115.0,98.0,247.0,49.0,62.0,139.0,255.0,257,219.0,288.0,301,341,1039,1647,2032,1106,103.0
Bangkok#Taling Chan,1136,1446,1605,1241,89.0,55.0,77.0,73.0,63.0,104.0,28.0,35.0,97.0,145.0,147,155.0,205.0,220,264,1046,1927,2230,1264,128.0
Bangkok#Thawi Watthana,912,1022,1262,870,85.0,65.0,88.0,78.0,50.0,84.0,26.0,36.0,62.0,131.0,132,98.0,161.0,173,208,940,1688,1820,1039,64.0
Bangkok#Thon Buri,1910,1905,2606,1511,95.0,79.0,80.0,59.0,52.0,77.0,24.0,50.0,77.0,149.0,161,135.0,169.0,156,178,564,996,1101,625,68.0
Bangkok#Thung Khru,649,675,803,616,61.0,44.0,57.0,39.0,42.0,111.0,42.0,39.0,50.0,104.0,82,78.0,103.0,132,153,507,807,804,615,67.0
Bangkok#Vadhana,3539,3778,4147,3309,392.0,265.0,310.0,216.0,217.0,296.0,52.0,83.0,169.0,384.0,461,439.0,483.0,531,531,1281,2506,3274,1346,141.0
Bangkok#Wang Thonglang,2054,2032,2281,1802,185.0,158.0,217.0,140.0,147.0,225.0,50.0,75.0,142.0,295.0,341,311.0,353.0,354,391,1190,1790,2118,1180,133.0
Bangkok#Yan Nawa,1231,1351,1455,1133,112.0,64.0,101.0,47.0,49.0,68.0,24.0,38.0,77.0,111.0,135,105.0,151.0,146,182,656,994,1068,635,54.0
Bueng Kan#Bueng Khong Long,76,113,82,52,14.0,6.0,8.0,5.0,3.0,8.0,4.0,6.0,9.0,17.0,34,22.0,45.0,46,41,186,224,275,252,21.0
Bueng Kan#Bung Khla,20,22,20,20,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,7,4.0,4.0,8,16,28,44,51,67,5.0
Bueng Kan#Mueang Bueng Kan,329,392,367,375,44.0,25.0,54.0,31.0,27.0,38.0,16.0,17.0,37.0,76.0,98,94.0,99.0,132,176,434,519,642,446,64.0
Bueng Kan#Pak Khat,67,59,62,58,10.0,1.0,11.0,5.0,3.0,6.0,1.0,5.0,5.0,10.0,10,6.0,21.0,27,37,82,87,102,98,8.0
Bueng Kan#Phon Charoen,59,61,69,52,9.0,6.0,11.0,5.0,8.0,12.0,7.0,8.0,8.0,20.0,11,12.0,18.0,26,30,76,105,92,107,10.0
Bueng Kan#Seka,150,186,173,124,21.0,10.0,23.0,25.0,9.0,20.0,8.0,13.0,21.0,38.0,33,42.0,54.0,67,94,234,232,237,245,42.0
Bueng Kan#Si Wilai,53,63,71,60,0.0,5.0,8.0,5.0,9.0,14.0,4.0,4.0,5.0,9.0,11,13.0,16.0,43,51,79,114,96,125,6.0
Bueng Kan#So Phisai,100,106,110,81,20.0,7.0,16.0,13.0,12.0,16.0,1.0,17.0,10.0,28.0,25,17.0,31.0,50,58,138,124,160,177,20.0
Buri Ram#Ban Dan,59,70,56,57,8.0,4.0,11.0,9.0,3.0,7.0,6.0,9.0,14.0,10.0,5,14.0,14.0,17,33,69,63,82,71,16.0
Buri Ram#Ban Kruat,117,165,165,101,18.0,13.0,27.0,20.0,13.0,25.0,14.0,7.0,18.0,42.0,33,41.0,47.0,78,96,217,203,210,218,32.0
Buri Ram#Ban Mai Chaiyaphot,37,61,71,38,11.0,7.0,12.0,6.0,8.0,9.0,2.0,9.0,9.0,13.0,10,17.0,31.0,27,54,76,77,99,93,11.0
Buri Ram#Chaloem Phra Kiat,117,160,181,120,12.0,18.0,22.0,20.0,7.0,21.0,11.0,2.0,19.0,28.0,17,25.0,41.0,44,66,144,175,277,221,15.0
Buri Ram#Chamni,48,60,59,35,7.0,3.0,9.0,4.0,6.0,7.0,5.0,3.0,14.0,7.0,5,7.0,13.0,30,50,55,52,88,91,17.0
Buri Ram#Huai Rat,53,72,61,69,11.0,6.0,15.0,3.0,6.0,10.0,1.0,4.0,5.0,12.0,14,14.0,19.0,33,56,52,61,111,64,4.0
Buri Ram#Khaen Dong,45,68,45,45,9.0,5.0,7.0,8.0,2.0,2.0,8.0,5.0,5.0,13.0,10,11.0,22.0,18,41,40,62,103,66,16.0
Buri Ram#Khu Mueang,106,144,151,112,15.0,16.0,18.0,15.0,15.0,13.0,14.0,4.0,16.0,19.0,22,18.0,52.0,66,68,147,173,219,173,21.0
Buri Ram#Krasang,127,194,212,161,33.0,20.0,47.0,26.0,10.0,18.0,9.0,6.0,24.0,41.0,33,33.0,52.0,78,125,197,171,203,222,39.0
Buri Ram#Lahan Sai,115,148,186,106,17.0,9.0,33.0,18.0,13.0,18.0,12.0,9.0,16.0,35.0,29,28.0,62.0,65,119,213,199,219,209,22.0
Buri Ram#Lam Plai Mat,237,362,357,282,54.0,32.0,55.0,42.0,33.0,44.0,32.0,13.0,33.0,66.0,66,99.0,105.0,134,186,339,341,479,414,46.0
Buri Ram#Mueang Buri Ram,1838,2069,2179,1544,242.0,142.0,249.0,177.0,154.0,191.0,81.0,67.0,164.0,343.0,428,398.0,474.0,534,614,1471,1885,2539,1568,232.0
Buri Ram#Na Pho,52,74,98,63,14.0,11.0,21.0,8.0,9.0,6.0,5.0,2.0,5.0,15.0,13,20.0,23.0,36,48,114,98,100,108,14.0
Buri Ram#Nang Rong,497,580,598,485,66.0,53.0,69.0,72.0,45.0,93.0,27.0,26.0,68.0,124.0,119,119.0,192.0,195,254,617,706,731,618,89.0
Buri Ram#Non Din Daeng,86,90,132,91,13.0,7.0,8.0,8.0,8.0,14.0,7.0,6.0,9.0,32.0,15,21.0,34.0,36,58,104,123,169,203,32.0
Buri Ram#Non Suwan,57,68,71,41,3.0,5.0,8.0,14.0,9.0,8.0,4.0,4.0,9.0,14.0,17,13.0,15.0,27,37,76,68,114,76,12.0
Buri Ram#Nong Hong,86,86,87,78,13.0,3.0,17.0,12.0,15.0,8.0,8.0,6.0,15.0,22.0,22,20.0,55.0,37,64,140,133,126,148,9.0
Buri Ram#Nong Ki,207,265,223,159,24.0,17.0,36.0,35.0,13.0,27.0,13.0,18.0,35.0,42.0,44,50.0,77.0,86,118,331,386,398,352,55.0
Buri Ram#Pakham,95,110,120,98,18.0,8.0,14.0,14.0,5.0,5.0,8.0,5.0,9.0,26.0,23,26.0,37.0,41,81,122,104,120,146,29.0
Buri Ram#Phlapphla Chai,40,78,70,74,5.0,5.0,15.0,10.0,0.0,7.0,1.0,2.0,6.0,14.0,17,8.0,23.0,20,50,82,57,76,72,11.0
Buri Ram#Phutthaisong,175,192,202,147,12.0,11.0,22.0,17.0,11.0,16.0,16.0,5.0,17.0,28.0,42,34.0,46.0,60,99,222,245,261,199,31.0
Buri Ram#Prakhon Chai,280,393,425,270,42.0,33.0,72.0,43.0,20.0,43.0,21.0,24.0,52.0,76.0,79,71.0,102.0,144,198,385,376,496,389,56.0
Buri Ram#Satuek,236,269,270,219,30.0,24.0,54.0,28.0,15.0,31.0,16.0,15.0,37.0,57.0,57,63.0,93.0,130,159,293,291,382,343,40.0
Chachoengsao#Ban Pho,629,645,805,624,60.0,30.0,38.0,19.0,28.0,68.0,20.0,28.0,43.0,73.0,67,58.0,105.0,92,137,622,991,1055,688,46.0
Chachoengsao#Bang Khla,498,633,709,514,45.0,26.0,38.0,24.0,14.0,50.0,28.0,33.0,39.0,56.0,74,67.0,85.0,80,123,510,871,844,597,55.0
Chachoengsao#Bang Nam Priao,348,405,460,375,26.0,19.0,32.0,21.0,9.0,143.0,28.0,26.0,15.0,43.0,58,41.0,81.0,82,110,480,641,711,505,51.0
Chachoengsao#Bang Pakong,1604,1547,1731,1581,156.0,70.0,115.0,93.0,70.0,145.0,108.0,84.0,102.0,213.0,213,230.0,343.0,347,405,1312,2079,2366,1765,186.0
Chachoengsao#Khlong Khuean,103,102,125,83,5.0,2.0,6.0,6.0,5.0,8.0,5.0,12.0,16.0,9.0,10,10.0,12.0,11,22,115,209,173,146,1.0
Chachoengsao#Mueang Chachoengsao,2583,2882,3245,2455,204.0,129.0,201.0,139.0,129.0,221.0,93.0,122.0,196.0,329.0,369,282.0,408.0,466,534,2349,4567,4901,2921,217.0
Chachoengsao#Phanom Sarakham,777,880,985,786,82.0,36.0,56.0,51.0,41.0,68.0,37.0,39.0,62.0,112.0,88,94.0,207.0,202,309,1043,1424,1627,1452,128.0
Chachoengsao#Plaeng Yao,536,573,637,537,47.0,22.0,46.0,34.0,34.0,45.0,40.0,24.0,43.0,68.0,97,71.0,112.0,183,180,469,654,845,514,74.0
Chachoengsao#Ratchasan,92,93,92,77,8.0,4.0,7.0,5.0,2.0,5.0,2.0,4.0,8.0,3.0,12,5.0,8.0,25,29,138,148,168,139,11.0
Chachoengsao#Sanam Chai Khet,238,310,389,259,17.0,15.0,24.0,12.0,15.0,21.0,17.0,10.0,21.0,26.0,39,37.0,77.0,75,126,350,511,385,397,57.0
Chachoengsao#Tha Takiap,159,182,178,148,19.0,12.0,23.0,14.0,12.0,17.0,10.0,5.0,16.0,21.0,28,20.0,72.0,71,98,332,363,324,321,36.0
Chai Nat#Hankha,255,321,368,283,26.0,23.0,28.0,21.0,16.0,18.0,16.0,12.0,24.0,37.0,33,25.0,53.0,51,72,293,411,428,346,22.0
Chai Nat#Manorom,220,308,311,213,22.0,15.0,31.0,29.0,18.0,23.0,24.0,15.0,24.0,62.0,38,42.0,70.0,62,76,277,374,442,342,29.0
Chai Nat#Mueang Chai Nat,724,869,957,732,79.0,48.0,73.0,48.0,54.0,69.0,33.0,37.0,57.0,139.0,144,122.0,170.0,167,210,699,1171,1376,862,55.0
Chai Nat#Noen Kham,33,52,45,38,5.0,3.0,6.0,4.0,1.0,5.0,5.0,2.0,5.0,9.0,12,11.0,20.0,38,20,62,80,81,92,9.0
Chai Nat#Nong Mamong,83,78,90,66,5.0,3.0,12.0,14.0,4.0,6.0,2.0,3.0,3.0,7.0,2,6.0,25.0,15,26,102,95,96,97,9.0
Chai Nat#Sankhaburi,299,390,460,288,28.0,22.0,40.0,23.0,13.0,39.0,18.0,20.0,26.0,36.0,47,36.0,83.0,80,107,328,489,579,457,22.0
Chai Nat#Sapphaya,223,335,301,263,25.0,22.0,36.0,15.0,18.0,29.0,12.0,23.0,22.0,48.0,46,42.0,84.0,67,97,272,349,360,345,36.0
Chai Nat#Wat Sing,151,180,159,122,8.0,7.0,11.0,12.0,9.0,7.0,8.0,8.0,16.0,20.0,22,24.0,48.0,43,52,135,233,315,215,16.0
Chaiyaphum#Bamnet Narong,142,219,213,156,24.0,17.0,25.0,20.0,17.0,34.0,10.0,7.0,19.0,27.0,36,24.0,47.0,55,81,278,255,256,272,43.0
Chaiyaphum#Ban Khwao,104,150,139,107,14.0,13.0,20.0,14.0,17.0,16.0,9.0,9.0,12.0,30.0,30,15.0,32.0,37,57,154,186,193,206,29.0
Chaiyaphum#Ban Thaen,74,66,66,50,11.0,4.0,26.0,13.0,8.0,13.0,3.0,7.0,11.0,15.0,19,19.0,24.0,28,56,133,124,149,141,22.0
Chaiyaphum#Chatturat,283,329,350,223,31.0,20.0,43.0,37.0,25.0,37.0,22.0,14.0,27.0,56.0,54,46.0,88.0,117,126,402,438,451,487,42.0
Chaiyaphum#Kaeng Khro,179,272,258,203,28.0,19.0,50.0,30.0,27.0,39.0,12.0,15.0,22.0,43.0,41,44.0,61.0,75,142,307,326,371,395,44.0
Chaiyaphum#Kaset Sombun,169,191,198,124,32.0,21.0,41.0,24.0,13.0,36.0,17.0,16.0,23.0,53.0,42,49.0,85.0,77,134,280,256,240,356,35.0
Chaiyaphum#Khon San,111,191,177,120,25.0,21.0,38.0,15.0,16.0,22.0,16.0,11.0,15.0,29.0,25,23.0,49.0,58,89,271,225,274,274,27.0
Chaiyaphum#Khon Sawan,100,126,137,98,21.0,7.0,30.0,13.0,9.0,25.0,16.0,13.0,9.0,21.0,39,24.0,50.0,54,81,183,197,178,217,32.0
Chaiyaphum#Mueang Chaiyaphum,1041,1365,1330,903,134.0,103.0,154.0,104.0,83.0,140.0,84.0,95.0,149.0,248.0,319,266.0,339.0,386,451,1280,1536,1787,1397,168.0
Chaiyaphum#Noen Sa-Nga,68,64,79,50,4.0,4.0,10.0,11.0,6.0,10.0,9.0,4.0,2.0,9.0,13,14.0,26.0,28,29,68,68,79,97,9.0
Chaiyaphum#Nong Bua Daeng,161,182,201,152,26.0,17.0,34.0,20.0,7.0,28.0,25.0,15.0,13.0,26.0,25,24.0,52.0,76,112,288,310,309,379,37.0
Chaiyaphum#Nong Bua Rawe,113,189,121,86,15.0,6.0,12.0,3.0,5.0,9.0,5.0,9.0,7.0,15.0,27,12.0,32.0,26,59,142,160,161,154,17.0
Chaiyaphum#Phakdi Chumphon,60,85,74,66,10.0,3.0,7.0,7.0,4.0,9.0,8.0,5.0,17.0,13.0,20,13.0,20.0,18,41,129,129,109,145,20.0
Chaiyaphum#Phu Khiao,297,323,354,245,43.0,50.0,79.0,52.0,42.0,42.0,32.0,23.0,49.0,69.0,75,56.0,132.0,132,152,496,475,516,509,61.0
Chaiyaphum#Sap Yai,46,45,41,47,10.0,4.0,5.0,3.0,5.0,4.0,5.0,0.0,8.0,9.0,5,4.0,17.0,12,24,56,55,58,70,7.0
Chaiyaphum#Thep Sathit,288,649,405,188,23.0,12.0,33.0,16.0,12.0,24.0,8.0,17.0,32.0,71.0,63,27.0,78.0,65,117,295,292,344,284,33.0
Chanthaburi#Kaeng Hang Maeo,120,157,137,106,9.0,3.0,10.0,6.0,5.0,16.0,12.0,10.0,15.0,18.0,13,15.0,23.0,48,43,208,319,355,290,23.0
Chanthaburi#Khao Khitchakut,182,170,183,123,8.0,5.0,19.0,27.0,82.0,101.0,16.0,23.0,16.0,17.0,19,21.0,32.0,52,51,147,320,341,333,34.0
Chanthaburi#Khlung,486,462,505,375,38.0,31.0,46.0,29.0,24.0,46.0,22.0,26.0,32.0,69.0,70,68.0,82.0,107,99,201,538,611,644,44.0
Chanthaburi#Laem Sing,772,764,783,573,51.0,29.0,33.0,41.0,45.0,37.0,10.0,11.0,35.0,69.0,97,75.0,109.0,130,128,187,708,830,1047,25.0
Chanthaburi#Makham,335,415,366,239,31.0,20.0,32.0,18.0,21.0,23.0,13.0,20.0,39.0,38.0,52,37.0,58.0,75,74,239,562,619,605,49.0
Chanthaburi#Mueang Chanthaburi,2211,2550,2513,1831,247.0,142.0,184.0,138.0,152.0,281.0,89.0,112.0,186.0,297.0,350,328.0,402.0,451,486,1493,3498,4026,2867,212.0
Chanthaburi#Na Yai Am,356,380,331,244,23.0,15.0,25.0,15.0,14.0,32.0,29.0,34.0,38.0,38.0,44,37.0,71.0,85,69,249,569,563,661,59.0
Chanthaburi#Pong Nam Ron,252,286,297,244,33.0,7.0,38.0,15.0,15.0,30.0,23.0,17.0,17.0,39.0,36,42.0,72.0,72,81,312,484,532,424,46.0
Chanthaburi#Soi Dao,256,338,328,244,39.0,25.0,42.0,23.0,28.0,43.0,29.0,20.0,26.0,43.0,44,44.0,65.0,92,116,447,666,631,504,40.0
Chanthaburi#Tha Mai,1249,1273,1223,891,86.0,50.0,76.0,57.0,84.0,111.0,39.0,57.0,74.0,135.0,156,149.0,229.0,232,227,515,1442,1661,1959,137.0
Chiang Mai#Chai Prakan,152,174,187,139,24.0,14.0,26.0,10.0,17.0,29.0,12.0,12.0,9.0,20.0,25,23.0,27.0,56,55,355,329,271,218,18.0
Chiang Mai#Chiang Dao,366,435,430,328,44.0,36.0,72.0,41.0,33.0,42.0,28.0,29.0,20.0,85.0,75,81.0,117.0,163,214,791,776,758,439,58.0
Chiang Mai#Chom Thong,346,455,472,464,63.0,67.0,95.0,41.0,35.0,64.0,31.0,39.0,53.0,73.0,51,59.0,123.0,197,222,864,765,780,421,49.0
Chiang Mai#Doi Lo,65,76,70,55,12.0,8.0,4.0,5.0,0.0,7.0,8.0,4.0,10.0,14.0,8,21.0,14.0,23,29,117,108,117,88,16.0
Chiang Mai#Doi Saket,345,394,433,382,37.0,39.0,43.0,28.0,25.0,42.0,35.0,30.0,40.0,44.0,49,54.0,79.0,101,114,459,541,614,359,38.0
Chiang Mai#Doi Tao,60,64,46,49,8.0,16.0,14.0,8.0,1.0,12.0,5.0,5.0,7.0,11.0,18,15.0,12.0,21,36,110,126,109,63,6.0
Chiang Mai#Fang,368,435,467,372,62.0,43.0,79.0,53.0,34.0,51.0,43.0,34.0,37.0,65.0,69,61.0,104.0,121,134,831,734,750,495,47.0
Chiang Mai#Galyani Vadhana,28,26,22,17,0.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,0.0,3,1.0,10.0,13,18,43,42,37,12,4.0
Chiang Mai#Hang Dong,730,964,977,719,88.0,64.0,105.0,65.0,39.0,74.0,29.0,33.0,53.0,88.0,91,93.0,131.0,160,158,851,1006,1038,563,54.0
Chiang Mai#Hot,153,168,211,218,23.0,13.0,21.0,7.0,8.0,20.0,12.0,17.0,19.0,27.0,23,21.0,42.0,52,46,232,235,272,187,19.0
Chiang Mai#Mae Ai,140,171,176,168,28.0,21.0,23.0,12.0,4.0,29.0,15.0,16.0,10.0,20.0,22,23.0,48.0,54,59,280,238,327,193,27.0
