district,Jun19,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21
Sukhothai#Khiri Mat,140,176,172,105,19.0,9.0,19.0,17.0,8.0,23.0,12.0,15.0,17.0,33.0,21,29.0,33.0,34,67,222,183,220,253,29.0
Sukhothai#Kong Krailat,163,171,189,118,12.0,9.0,23.0,13.0,4.0,14.0,12.0,14.0,18.0,25.0,21,22.0,35.0,51,63,222,296,288,291,19.0
Sukhothai#Mueang Sukhothai,807,1061,963,802,96.0,103.0,140.0,75.0,56.0,86.0,35.0,40.0,59.0,162.0,138,133.0,343.0,213,261,940,1145,1387,1150,94.0
Sukhothai#Sawankhalok,297,383,380,315,52.0,26.0,62.0,28.0,30.0,32.0,25.0,30.0,39.0,77.0,66,47.0,120.0,104,107,478,665,637,522,34.0
Sukhothai#Si Nakhon,58,67,84,66,12.0,6.0,15.0,7.0,3.0,2.0,3.0,7.0,7.0,11.0,10,4.0,25.0,29,22,91,83,95,109,10.0
Sukhothai#Si Samrong,216,297,308,275,27.0,17.0,42.0,22.0,19.0,32.0,16.0,15.0,27.0,49.0,49,34.0,70.0,96,148,370,420,471,439,54.0
Sukhothai#Si Satchanalai,180,311,337,252,34.0,25.0,69.0,34.0,21.0,41.0,18.0,28.0,49.0,54.0,51,51.0,78.0,80,161,431,489,445,500,40.0
Sukhothai#Thung Saliam,138,212,226,166,20.0,6.0,32.0,12.0,11.0,22.0,5.0,8.0,19.0,36.0,25,27.0,41.0,43,73,228,278,272,235,13.0
Suphan Buri#Bang Pla Ma,572,655,758,646,40.0,28.0,34.0,20.0,25.0,41.0,26.0,53.0,35.0,74.0,64,56.0,122.0,105,149,669,862,859,668,36.0
Suphan Buri#Dan Chang,380,436,514,441,41.0,16.0,42.0,25.0,20.0,41.0,26.0,28.0,31.0,60.0,44,46.0,115.0,125,168,711,858,798,627,45.0
Suphan Buri#Doem Bang Nang Buat,475,535,640,487,47.0,19.0,53.0,41.0,25.0,33.0,23.0,29.0,35.0,68.0,49,55.0,102.0,93,140,612,826,849,635,48.0
Suphan Buri#Don Chedi,319,339,426,321,38.0,23.0,30.0,31.0,17.0,26.0,13.0,18.0,28.0,36.0,36,43.0,79.0,80,120,403,468,496,346,43.0
Suphan Buri#Mueang Suphan Buri,2268,2735,3074,2371,218.0,135.0,183.0,134.0,141.0,207.0,103.0,107.0,175.0,300.0,284,242.0,460.0,422,525,2260,3655,3892,2212,210.0
Suphan Buri#Nong Ya Sai,193,243,257,204,17.0,8.0,18.0,13.0,5.0,13.0,8.0,10.0,17.0,31.0,13,26.0,54.0,55,73,324,412,406,391,39.0
Suphan Buri#Sam Chuk,501,612,737,515,49.0,28.0,45.0,29.0,29.0,41.0,18.0,23.0,42.0,69.0,69,49.0,101.0,100,85,511,772,723,534,32.0
Suphan Buri#Si Prachan,434,490,618,476,42.0,23.0,35.0,24.0,25.0,53.0,35.0,36.0,35.0,65.0,55,49.0,96.0,106,117,483,625,597,490,36.0
Suphan Buri#Song Phi Nong,903,956,1144,805,72.0,34.0,48.0,59.0,29.0,39.0,39.0,38.0,65.0,105.0,102,87.0,166.0,160,229,853,1316,1288,1013,99.0
Suphan Buri#U Thong,759,851,999,795,61.0,60.0,85.0,52.0,29.0,60.0,36.0,61.0,67.0,106.0,106,104.0,219.0,179,233,933,1241,1327,1053,114.0
Surat Thani#Ban Na Doem,98,104,129,94,10.0,4.0,11.0,7.0,3.0,15.0,3.0,9.0,16.0,31.0,19,14.0,25.0,23,48,201,238,239,196,19.0
Surat Thani#Ban Na San,194,257,356,205,29.0,7.0,23.0,21.0,14.0,30.0,8.0,14.0,18.0,41.0,32,34.0,46.0,58,71,390,480,514,387,35.0
Surat Thani#Ban Ta Khun,222,279,255,178,25.0,11.0,21.0,12.0,8.0,39.0,4.0,6.0,15.0,43.0,26,32.0,34.0,56,59,371,436,580,497,15.0
Surat Thani#Chai Buri,41,44,65,58,12.0,8.0,9.0,2.0,2.0,9.0,3.0,3.0,8.0,11.0,5,7.0,17.0,28,32,144,163,147,138,15.0
Surat Thani#Chaiya,235,254,267,212,20.0,20.0,17.0,21.0,16.0,39.0,12.0,10.0,23.0,27.0,51,42.0,55.0,85,86,523,526,577,616,28.0
Surat Thani#Don Sak,224,243,292,253,22.0,13.0,22.0,17.0,11.0,18.0,5.0,2.0,22.0,30.0,40,33.0,41.0,63,61,399,622,680,645,22.0
Surat Thani#Kanchanadit,330,288,389,302,39.0,26.0,42.0,26.0,28.0,56.0,9.0,29.0,26.0,69.0,61,52.0,73.0,100,123,642,960,934,739,52.0
Surat Thani#Khian Sa,95,109,146,81,5.0,15.0,18.0,11.0,11.0,18.0,4.0,4.0,22.0,25.0,20,13.0,25.0,43,52,285,364,313,247,19.0
Surat Thani#Khiri Rat Nikhom,131,135,161,121,19.0,7.0,17.0,11.0,16.0,25.0,10.0,6.0,14.0,23.0,22,10.0,23.0,41,57,261,429,481,432,12.0
Surat Thani#Ko Pha-Ngan,288,339,321,275,29.0,28.0,33.0,28.0,15.0,38.0,7.0,9.0,15.0,31.0,57,40.0,31.0,42,50,173,175,237,282,24.0
Surat Thani#Ko Samui,984,919,997,948,133.0,95.0,122.0,74.0,78.0,99.0,23.0,26.0,85.0,143.0,184,170.0,184.0,184,221,632,709,978,1005,63.0
Surat Thani#Mueang Surat Thani,2738,2926,3377,2585,374.0,297.0,389.0,287.0,226.0,409.0,103.0,130.0,261.0,510.0,613,505.0,638.0,723,919,3946,5738,6663,4091,223.0
Surat Thani#Phanom,163,196,179,159,16.0,6.0,26.0,14.0,14.0,18.0,15.0,20.0,11.0,45.0,42,36.0,42.0,68,74,462,482,545,432,17.0
Surat Thani#Phrasaeng,131,188,219,190,33.0,26.0,41.0,12.0,14.0,27.0,21.0,21.0,26.0,30.0,29,32.0,49.0,61,98,482,610,667,516,38.0
Surat Thani#Phunphin,781,842,886,736,105.0,53.0,78.0,46.0,38.0,90.0,25.0,28.0,45.0,104.0,122,97.0,120.0,188,214,831,1206,1591,1146,79.0
Surat Thani#Tha Chana,182,235,242,231,22.0,15.0,21.0,20.0,17.0,57.0,19.0,16.0,18.0,34.0,27,26.0,40.0,63,90,486,507,546,519,32.0
Surat Thani#Tha Chang,262,244,320,266,22.0,11.0,9.0,16.0,4.0,31.0,8.0,11.0,17.0,16.0,29,28.0,48.0,52,68,304,348,407,324,28.0
Surat Thani#Vibhavadi,13,23,24,14,5.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,8,4.0,6.0,11,21,50,57,87,61,3.0
Surat Thani#Wiang Sa,309,342,405,298,46.0,19.0,42.0,24.0,23.0,36.0,18.0,12.0,28.0,50.0,44,59.0,93.0,98,129,652,862,958,640,31.0
Surin#Buachet,72,87,75,83,13.0,7.0,13.0,9.0,6.0,7.0,10.0,7.0,11.0,21.0,13,16.0,33.0,25,55,114,85,89,77,22.0
Surin#Chom Phra,100,99,119,97,11.0,11.0,21.0,21.0,4.0,13.0,8.0,9.0,16.0,31.0,20,20.0,31.0,44,64,122,91,109,144,15.0
Surin#Chumphon Buri,158,203,162,144,18.0,13.0,27.0,33.0,17.0,29.0,20.0,14.0,19.0,41.0,23,39.0,61.0,72,114,222,245,345,290,38.0
Surin#Kap Choeng,159,215,203,183,24.0,8.0,32.0,32.0,13.0,16.0,11.0,2.0,17.0,31.0,25,35.0,45.0,61,83,197,217,250,223,38.0
Surin#Khwao Sin Rin,67,62,52,54,4.0,3.0,16.0,9.0,3.0,4.0,1.0,0.0,6.0,10.0,16,11.0,16.0,33,40,65,73,75,87,14.0
Surin#Lamduan,52,48,60,36,8.0,2.0,9.0,8.0,5.0,8.0,0.0,4.0,9.0,7.0,13,12.0,12.0,22,29,69,54,66,69,9.0
Surin#Mueang Surin,1493,1780,2072,1568,205.0,144.0,230.0,126.0,131.0,181.0,85.0,69.0,140.0,329.0,326,342.0,384.0,537,558,1269,1518,1728,1377,242.0
Surin#Non Narai,42,46,60,39,11.0,9.0,12.0,8.0,3.0,7.0,3.0,6.0,10.0,14.0,8,10.0,24.0,33,48,80,83,72,99,22.0
Surin#Phanom Dong Rak,48,63,48,52,8.0,5.0,9.0,6.0,6.0,9.0,3.0,9.0,8.0,11.0,13,9.0,15.0,31,38,95,89,92,100,18.0
Surin#Prasat,284,346,375,280,36.0,28.0,54.0,49.0,28.0,44.0,23.0,26.0,39.0,70.0,57,83.0,91.0,122,203,366,369,422,434,70.0
Surin#Rattanaburi,149,185,221,160,42.0,17.0,35.0,36.0,24.0,38.0,12.0,10.0,11.0,30.0,35,38.0,90.0,86,120,297,220,254,306,57.0
Surin#Samrong Thap,92,114,107,112,11.0,5.0,19.0,18.0,14.0,10.0,11.0,12.0,17.0,21.0,23,14.0,33.0,58,90,164,124,140,159,15.0
Surin#Sangkha,222,301,314,260,25.0,16.0,51.0,35.0,23.0,33.0,12.0,13.0,35.0,47.0,60,59.0,72.0,113,170,322,293,318,413,57.0
Surin#Sanom,54,60,74,46,10.0,5.0,15.0,6.0,4.0,7.0,6.0,4.0,10.0,10.0,13,11.0,28.0,25,51,102,70,68,105,12.0
Surin#Si Narong,48,64,87,50,8.0,11.0,22.0,18.0,10.0,14.0,6.0,11.0,11.0,16.0,15,13.0,12.0,16,47,85,77,75,135,19.0
Surin#Sikhoraphum,201,257,218,204,36.0,26.0,49.0,34.0,11.0,29.0,19.0,19.0,36.0,50.0,42,51.0,70.0,116,151,263,255,293,383,32.0
Surin#Tha Tum,184,209,225,227,36.0,18.0,37.0,42.0,19.0,34.0,9.0,8.0,26.0,35.0,54,42.0,75.0,92,110,220,272,285,382,49.0
Tak#Ban Tak,148,176,169,167,26.0,19.0,20.0,15.0,16.0,13.0,5.0,12.0,28.0,22.0,27,18.0,35.0,51,50,207,245,301,265,21.0
Tak#Mae Ramat,61,66,78,63,10.0,5.0,11.0,3.0,4.0,7.0,3.0,3.0,11.0,10.0,5,7.0,10.0,20,31,96,103,159,105,15.0
Tak#Mae Sot,793,922,1045,884,113.0,76.0,105.0,69.0,65.0,129.0,34.0,35.0,80.0,105.0,128,100.0,121.0,140,195,721,775,1055,789,99.0
Tak#Mueang Tak,802,1012,995,811,112.0,79.0,112.0,58.0,49.0,129.0,50.0,52.0,109.0,151.0,180,138.0,232.0,260,314,1175,1545,1827,1139,115.0
Tak#Phop Phra,71,105,93,70,9.0,7.0,18.0,12.0,5.0,18.0,10.0,6.0,14.0,13.0,14,14.0,27.0,29,41,191,191,233,186,20.0
